lookback,top_percent,fee_rate,comparison_start,average_selected_stocks,is_requested_setting,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio_rf_0,downside_deviation,sortino_ratio_rf_0,calmar_ratio,worst_day,value_at_risk_95,conditional_value_at_risk_95,trading_days
10,0.1,0.001,2019-08-01,2.0,False,3.942874836066389,0.25609658376802846,0.36972823419880874,-0.6172090933469512,0.800368381894016,0.23715462596804554,1.247788388433565,0.41492678336815936,-0.10170093501669264,-0.0349809752326124,-0.04869968198088197,1696.0
10,0.2,0.001,2019-08-01,4.0,False,4.125542503151893,0.2626176042841688,0.3046889793622604,-0.48030168652591365,0.9174755625630305,0.2003970555530898,1.3949540923922792,0.5467763525539897,-0.07862890174838777,-0.027277400862076973,-0.04196323172328686,1696.0
10,0.3,0.001,2019-08-01,6.0,False,2.8134462454424187,0.21045164422384177,0.2703609786796087,-0.4956255564965415,0.8416966187798299,0.1810966681052199,1.2565770755783061,0.42461822532210425,-0.09119020095656327,-0.025657140382900623,-0.03788984092701126,1696.0
20,0.1,0.001,2019-08-01,2.0,False,2.1319612455508903,0.17692119575091492,0.37109425661738643,-0.5922968511581594,0.6242109531369523,0.24880996196240146,0.930996081506542,0.2987035899396874,-0.09754264638798338,-0.03670062074998259,-0.052534074498414206,1696.0
20,0.2,0.001,2019-08-01,4.0,False,1.7595720380427777,0.15585438523453998,0.29986057426801704,-0.5774556921921926,0.6330878752605634,0.20443708791880508,0.9285893072060781,0.26989843089583315,-0.09859419147748194,-0.028904855405156915,-0.04277509347954585,1696.0
20,0.3,0.001,2019-08-01,6.0,False,1.7996457828137835,0.15823463859423392,0.26581785706109146,-0.521271518978415,0.6856248533240273,0.18056040723016137,1.0093648549767686,0.30355512018830666,-0.0860937485567983,-0.025340298893834545,-0.03837771547835254,1696.0
60,0.1,0.001,2019-08-01,2.0,False,2.4347045420485856,0.19251911326206161,0.3735167018522671,-0.6964034061123592,0.6580683667315184,0.25080825579598387,0.9800296451756627,0.27644769047984835,-0.10966440276803324,-0.0363751492595257,-0.052515707988403944,1696.0
60,0.2,0.001,2019-08-01,4.0,False,1.1451762142920225,0.11505429229910558,0.29655280609305973,-0.6460657684339302,0.515970517392881,0.20737895856999267,0.7378400675230673,0.1780844891039473,-0.09859419147748194,-0.0286901810187013,-0.044171012636338804,1696.0
60,0.3,0.001,2019-08-01,6.0,False,0.6984883784994289,0.07851782106984317,0.2700186247154905,-0.6503369106226267,0.4155042773861415,0.19102521552971252,0.5873250462358919,0.12073406843027089,-0.09473028330940414,-0.025348895590116383,-0.04081057960819247,1696.0
120,0.1,0.001,2019-08-01,2.0,False,1.1265907315957429,0.11367067821071819,0.38149131393485275,-0.6119500664660966,0.47245256247062195,0.2565374391601839,0.7025740547611244,0.18575155791247192,-0.12122676838476742,-0.036815597694432156,-0.05334549104678871,1696.0
120,0.2,0.001,2019-08-01,4.0,False,2.043277795397986,0.17210730906452243,0.312134697821166,-0.5250770565253999,0.6648792747370805,0.21156423787930337,0.9809403214262081,0.3277753368303895,-0.09739341074112629,-0.029463631193158923,-0.04452814509923006,1696.0
120,0.3,0.001,2019-08-01,6.0,True,3.5056066409501945,0.23960463406666332,0.2722990867597017,-0.3828446924538019,0.9253827770382952,0.18414340611634936,1.3683948309909755,0.6258533519974985,-0.09473028330940414,-0.024413682285323368,-0.03934560518485323,1696.0
